text@ash1989m	@ash1989m	84.025	94.81	это круто / на самом деле это помогает тем людям которые с этим сталкиваются да наверное для большинства это может казаться странным но / с другой стороны чем больше люди будут понимать что в этом нет ничего странного тем лучше // щас вообще как ты? //
text@ash1989m	@ash1989m	101.8	101.895	угу //
text@ash1989m	@ash1989m	116.223	116.902	к психотерапевту
text@ash1989m	@ash1989m	118.056	119.002	к психиатру пошел // 
text@ash1989m	@ash1989m	128.005	128.153	угу //
text@ash1989m	@ash1989m	220.624	220.827	угу //
text@ash1989m	@ash1989m	227.897	229.554	панические атаки это отвратительно //
text@ash1989m	@ash1989m	277.445	281.448	первая рекламная интеграция у нас только что была в этом / ну / в... в подкасте //
text@ash1989m	@ash1989m	281.727	281.924	да //
text@ash1989m	@ash1989m	282.102	282.313	#нрзб#
text@ash1989m	@ash1989m	284.048	286.305	я про папу джонса но #нрзб#
text@ash1989m	@ash1989m	287.002	289.151	ну да больше вариантов что нам заплатят // 
text@ash1989m	@ash1989m	325.6	326.851	ты же / женат //
text@ash1989m	@ash1989m	331.259	331.981	свободен //
text@ash1989m	@ash1989m	338.929	355.0	я не / это / #нрзб# давай об этом потом поговорим обязательно потому что это тоже очень интересный формат и это же еще одна из причин по которой / эээ ну там уже не будет параллели с Котом и со Шреком там наверное другие параллели но взрослые люди такие в целом даже достаточно прогрессивные они такие чт... как это блин? //
words@ad1994m	@ad1994m	95.6	95.93	эээ
words@ad1994m	@ad1994m	95.93	96.26	щас
words@ad1994m	@ad1994m	96.26	96.59	я
words@ad1994m	@ad1994m	96.59	96.92	нормально
words@ad1994m	@ad1994m	96.92	97.25	я
words@ad1994m	@ad1994m	97.25	97.58	получше
words@ad1994m	@ad1994m	97.58	97.91	себя
words@ad1994m	@ad1994m	97.91	98.24	чувствую
words@ad1994m	@ad1994m	98.24	98.57	но
words@ad1994m	@ad1994m	98.57	98.9	вот
words@ad1994m	@ad1994m	98.9	99.23	эээ
words@ad1994m	@ad1994m	99.23	99.56	/
words@ad1994m	@ad1994m	99.56	99.89	из-за
words@ad1994m	@ad1994m	99.89	100.22	того
words@ad1994m	@ad1994m	100.22	100.55	что
words@ad1994m	@ad1994m	100.55	100.88	мы
words@ad1994m	@ad1994m	100.88	101.21	в
words@ad1994m	@ad1994m	101.21	101.54	туре
words@ad1994m	@ad1994m	101.54	101.87	сейчас
words@ad1994m	@ad1994m	101.87	102.2	/
words@ad1994m	@ad1994m	102.2	102.53	и
words@ad1994m	@ad1994m	102.53	102.86	это
words@ad1994m	@ad1994m	102.86	103.19	стресс
words@ad1994m	@ad1994m	103.19	103.52	большой
words@ad1994m	@ad1994m	103.52	103.85	/
words@ad1994m	@ad1994m	103.85	104.18	мне
words@ad1994m	@ad1994m	104.18	104.51	временами
words@ad1994m	@ad1994m	104.51	104.84	прям
words@ad1994m	@ad1994m	104.84	105.17	очень
words@ad1994m	@ad1994m	105.17	105.5	сложно
words@ad1994m	@ad1994m	105.5	105.83	становится
words@ad1994m	@ad1994m	105.83	106.16	/
words@ad1994m	@ad1994m	106.16	106.502	/
words@ad1994m	@ad1994m	107.251	107.517	и
words@ad1994m	@ad1994m	107.517	107.783	я
